Leto;Država;Kolesar;Ekipa;Razdalja;Čas dirke;Prednost;Hitrost zmagovalca
1913; Belgium;Philippe Thys;Peugeot–Wolber;5,287 km (3,285 mi);197:54:00;00:08:37; 26,72 
1914; Belgium;Philippe Thys;Peugeot–Wolber;5,380 km (3,340 mi);200:28:48;00:01:50; 26,84 
1919; Belgium;Firmin Lambot;La Sportive;5,560 km (3,450 mi);231:07:15;01:42:54; 24,06 
1920; Belgium;Philippe Thys;La Sportive;5,503 km (3,419 mi);228:36:13;00:57:21; 24,07 
1921; Belgium;Léon Scieur;La Sportive;5,485 km (3,408 mi);221:50:26;00:18:36; 24,72 
1922; Belgium;Firmin Lambot;Peugeot–Wolber;5,375 km (3,340 mi);222:08:06;00:41:15; 24,20 
1923; France;Henri Pélissier;Automoto–Hutchinson;5,386 km (3,347 mi);222:15:30;00:30:41; 24,23 
1924; Italy;Ottavio Bottecchia;Automoto;5,425 km (3,371 mi);226:18:21;00:35:36; 23,97 
1925; Italy;Ottavio Bottecchia;Automoto–Hutchinson;5,440 km (3,380 mi);219:10:18;00:54:20; 24,82 
1926; Belgium;Lucien Buysse;Automoto–Hutchinson;5,745 km (3,570 mi);238:44:25;01:22:25; 24,06 
1927; Luxembourg;Nicolas Frantz;Alcyon–Dunlop;5,398 km (3,354 mi);198:16:42;01:48:41; 27,22 
1928; Luxembourg;Nicolas Frantz;Alcyon–Dunlop;5,476 km (3,403 mi);192:48:58;00:50:07; 28,40 
1929; Belgium;Maurice De Waele;Alcyon–Dunlop;5,286 km (3,285 mi);186:39:15;00:44:23; 28,32 
1930; France;André Leducq;Alcyon–Dunlop;4,822 km (2,996 mi);172:12:16;00:14:13; 28,00 
1931; France;Antonin Magne;France;5,091 km (3,163 mi);177:10:03;00:12:56; 28,74 
1932; France;André Leducq;France;4,479 km (2,783 mi);154:11:49;00:24:03; 29,05 
1933; France;Georges Speicher;France;4,395 km (2,731 mi);147:51:37;00:04:01; 29,72 
1934; France;Antonin Magne;France;4,470 km (2,780 mi);147:13:58;00:27:31; 30,36 
1935; Belgium;Romain Maes;Belgium;4,338 km (2,696 mi);141:23:00;00:17:52; 30,68 
1936; Belgium;Sylvère Maes;Belgium;4,442 km (2,760 mi);142:47:32;00:26:55; 31,11 
1937; France;Roger Lapébie;France;4,415 km (2,743 mi);138:58:31;00:07:17; 31,77 
1938; Italy;Gino Bartali*;Italy;4,694 km (2,917 mi);148:29:12;00:18:27; 31,61 
1939; Belgium;Sylvère Maes*;Belgium;4,224 km (2,625 mi);132:03:17;00:30:38; 31,99 
1947; France;Jean Robic;France;4,642 km (2,884 mi);148:11:25;00:03:58; 31,32 
1948; Italy;Gino Bartali*;Italy;4,922 km (3,058 mi);147:10:36;00:26:16; 33,44 
1949; Italy;Fausto Coppi*;Italy;4,808 km (2,988 mi);149:40:49;00:10:55; 32,12 
1950;  Switzerland;Ferdinand Kübler;Switzerland;4,773 km (2,966 mi);145:36:56;00:09:30; 32,78 
1951;  Switzerland;Hugo Koblet;Switzerland;4,690 km (2,910 mi);142:20:14;00:22:00; 32,95 
1952; Italy;Fausto Coppi*;Italy;4,898 km (3,043 mi);151:57:20;00:28:17; 32,23 
1953; France;Louison Bobet;France;4,476 km (2,781 mi);129:23:25;00:14:18; 34,59 
1954; France;Louison Bobet;France;4,656 km (2,893 mi);140:06:05;00:15:49; 33,23 
1955; France;Louison Bobet;France;4,495 km (2,793 mi);130:29:26;00:04:53; 34,45 
1956; France;Roger Walkowiak;France;4,498 km (2,795 mi);124:01:16;00:01:25; 36,27 
1957; France;Jacques Anquetil;France;4,669 km (2,901 mi);135:44:42;00:14:56; 34,40 
1958; Luxembourg;Charly Gaul;Luxembourg;4,319 km (2,684 mi);116:59:05;00:03:10; 36,92 
1959; Spain;Federico Bahamontes*;Spain;4,358 km (2,708 mi);123:46:45;00:04:01; 35,21 
1960; Italy;Gastone Nencini;Italy;4,173 km (2,593 mi);112:08:42;00:05:02; 37,21 
1961; France;Jacques Anquetil;France;4,397 km (2,732 mi);122:01:33;00:12:14; 36,03 
1962; France;Jacques Anquetil;Saint-Raphaël–Helyett–Hutchinson;4,274 km (2,656 mi);114:31:54;00:04:59; 37,32 
