;Leto;Država;Kolesar;Čas dirke
35;1959;Spain;Federico Bahamontes*;123:46:45
49;1973;Spain;Luis Ocaña;122:25:34
64;1988;Spain;Pedro Delgado;84:27:53
67;1991;Spain;Miguel Indurain;101:01:20
68;1992;Spain;Miguel Indurain;100:49:30
69;1993;Spain;Miguel Indurain;95:57:09
70;1994;Spain;Miguel Indurain;103:38:38
71;1995;Spain;Miguel Indurain;92:44:59
82;2006;Spain;Floyd Landis Óscar Pereiro[C];89:40:27
83;2007;Spain;Alberto Contador#;91:00:26
84;2008;Spain;Carlos Sastre*;87:52:52
85;2009;Spain;Alberto Contador;85:48:35
